Product,Issue,Company,State,Complaint ID,ZIP code
credit reporting credit repair services personal consumer reports,incorrect information report,convergent resources inc,GA,3233798,30328
credit card prepaid card,advertising marketing including promotional offers,american express company,IL,3234200,602XX
money transfer virtual currency money service,money available promised,paypal holdings inc,CT,3235143,063XX
payday loan title loan personal loan,problem payoff process end loan,navy federal credit union,MS,3234164,39073
debt collection,attempts collect debt owed,sequium asset solutions llc,KS,3235429,672XX
debt collection,attempts collect debt owed,ally financial inc,NC,3234536,282XX
debt collection,communication tactics,maury cobb attorney law llc,CA,3233668,924XX
debt collection,attempts collect debt owed,commonwealth financial systems inc,TX,3235607,750XX
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,capital accounts llc,TX,3235181,760XX
mortgage,struggling pay mortgage,ocwen loan servicing llc,DE,3234232,197XX
debt collection,attempts collect debt owed,stone creek financial inc,OH,3234998,432XX
debt collection,attempts collect debt owed,convergent resources inc,CT,3234578,06460
debt collection,attempts collect debt owed,synchrony financial,CA,3234900,90221
credit reporting credit repair services personal consumer reports,incorrect information report,colony brands inc,WI,3234467,532XX
credit reporting credit repair services personal consumer reports,incorrect information report,diversified consultants inc,CT,3233672,064XX
debt collection,written notification debt,synchrony financial,PR,3234885,009XX
student loan,dealing lender servicer,aespheaa,PA,3235328,19026
credit reporting credit repair services personal consumer reports,incorrect information report,rent recovery solutions,GA,3234043,30328
debt collection,took threatened take negative legal action,emmett l goodman jr llc,GA,3234802,312XX
debt collection,false statements representation,collection bureau incorporated,ID,3235195,83715
debt collection,attempts collect debt owed,ability recovery services llc,PA,3234782,19134
debt collection,written notification debt,credit protection association lp,AZ,3235104,85710
debt collection,attempts collect debt owed,navy federal credit union,FL,3234266,33322
debt collection,threatened contact someone share information improperly,northern resolution services,OH,3235410,454XX
debt collection,attempts collect debt owed,online information services inc,AL,3234698,358XX
debt collection,attempts collect debt owed,diversified consultants inc,AZ,3234554,850XX
credit card prepaid card,getting credit card,navy federal credit union,TX,3234768,75287
debt collection,attempts collect debt owed,navy federal credit union,CA,3233866,920XX
debt collection,took threatened take negative legal action,diversified consultants inc,LA,3235446,704XX
debt collection,attempts collect debt owed,monterey financial services llc,VA,3235086,236XX
credit card prepaid card,getting credit card,synchrony financial,SC,3235314,29644
debt collection,false statements representation,th professional medical collections ltd,IL,3235372,616XX
debt collection,attempts collect debt owed,designed receivable solultions inc,CA,3234978,902XX
credit card prepaid card,fees interest,army air force exchange service,FL,3234787,33511
mortgage,applying mortgage refinancing existing mortgage,nationstar mortgage,CA,3234830,92026
credit reporting credit repair services personal consumer reports,incorrect information report,sterling infosystems inc,CA,3234228,90706
credit reporting credit repair services personal consumer reports,incorrect information report,navy federal credit union,FL,3234914,33030
debt collection,attempts collect debt owed,southwest credit systems lp,NJ,3234635,070XX
debt collection,communication tactics,erc,FL,3234221,339XX
money transfer virtual currency money service,problem customer service,navy federal credit union,GA,3235022,31907
debt collection,written notification debt,general business recoveries inc,AZ,3234621,85710
checking savings account,managing account,navy federal credit union,CA,3234819,955XX
credit reporting credit repair services personal consumer reports,improper use report,american express company,PA,3234230,152XX
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TX,3234606,776XX
